Name	Address	Street_1	Street_2	Zip	Lat	Long	Class	State	County	City	Playground	Pools	Tennis	Baseball	Basketball	Playing	Acreage	Dog	Ice	Notes
Market Street Park		Market St	Bristol St				Urban	MA	Middlesex	Cambridge	1									
McMath Park		Pemberton St	Haskell St				Urban	MA	Middlesex	Cambridge										
New Riverside Neighborhood Park		Memorial Dr	Western Ave				Urban	MA	Middlesex	Cambridge										
Old Longfellow School (High School Ext.)	359 Broadway 						Urban	MA	Middlesex	Cambridge	1									
Pacific Street Open Space		Pacific St	Sidney St				Dog	MA	Middlesex	Cambridge						1		1		
Paine Park		Amory St	St Mary Rd				Urban	MA	Middlesex	Cambridge	1				1					
Pine Street Park		School St	Pine St				Urban	MA	Middlesex	Cambridge	1									
Rafferty Park					42.39274	-71.1549	Urban	MA	Middlesex	Cambridge	1		1	1	1					Coordinates
Raymond Park/Corcoran Field		Upland Rd	Raymond St				Dog	MA	Middlesex	Cambridge	1			1	1	1		1		
Reverend Williams Park		Dudley St	Cedar St				Urban	MA	Middlesex	Cambridge	1				1					
Rindge Field and Peabody School		Pemberton St	Yerxa Rd				Urban	MA	Middlesex	Cambridge	1			1						
Riverside Press Park		Memorial Dr	River St				Urban	MA	Middlesex	Cambridge	1		1		1					
Russell/Samp Field		Clifton St	Dudley St				Urban	MA	Middlesex	Cambridge	1			1		1				
Sacramento Field	9 Sacramento St						Urban	MA	Middlesex	Cambridge	1			1	1	1				
Sennott Park		Broadway	Norfolk St				Urban	MA	Middlesex	Cambridge	1			1	1	1				
Silva Park		Otis St	Sciarappa St				Urban	MA	Middlesex	Cambridge	1									
Squirrel Brand Park		Broadway	Boardman St				Urban	MA	Middlesex	Cambridge										
St Peter's Field		Sherman St	Cadbury Rd				Urban	MA	Middlesex	Cambridge	1			1	1					
Tobin Field		Concord Ave	Fern St				Urban	MA	Middlesex	Cambridge				1						
Wilder-Lee Park		Lee St	West St				Urban	MA	Middlesex	Cambridge	1									
William G. Maher Park	650 Concord Ave						Urban	MA	Middlesex	Cambridge						1				
Winthrop Square		JFK St	Winthrop St				Urban	MA	Middlesex	Cambridge										
Banta Davis Recreation Area	304 Bedford Rd			01741			Urban	MA	Middlesex	Carlisle	1			1		1	39			
Carlisle Castle		Church St	School St	01741			Urban	MA	Middlesex	Carlisle	1									
Carlisle Tennis Courts					42.526735	-71.347127	Urban	MA	Middlesex	Carlisle			1							Coordinates
Center Park					42.530079	-71.348342	Urban	MA	Middlesex	Carlisle							0.6			Coordinates
Diment Park and Spalding Field	225 Church St			01741			Urban	MA	Middlesex	Carlisle	1			1		1	5			
110 Baseball Fields		Chelmsford St	Fletcher St	01824			Urban	MA	Middlesex	Chelmsford				1						
Byam School	25 Maple Rd			01824			Urban	MA	Middlesex	Chelmsford	1			1						
Chelmsford High School	200 Richardson Rd			01824			Urban	MA	Middlesex	Chelmsford			1	1	1	1				
Chelmsford Town Common	4 North Rd			01824			Urban	MA	Middlesex	Chelmsford										
East School Field		Carlisle Rd	Albina St	01824			Urban	MA	Middlesex	Chelmsford	1			1	1					
Harrington School	120 Richardson Rd			01863			Urban	MA	Middlesex	Chelmsford	1					1				
Heart Pond					42.568652	-71.381819	Urban	MA	Middlesex	Chelmsford										Coordinates
Lime Quarry	151 Littleton Rd			01824			Urban	MA	Middlesex	Chelmsford										
McCarthy Middle School	250 North Rd			01824			Urban	MA	Middlesex	Chelmsford	1		1	1		1				
Parker Middle School	75 Graniteville Rd			01863			Urban	MA	Middlesex	Chelmsford	1			1						
Roberts Field		Old Westford Rd	School St	01824			Urban	MA	Middlesex	Chelmsford	1			1		1				
Russell Mill Pond and Town Forest					42.577221	-71.329755	Urban	MA	Middlesex	Chelmsford						1				Coordinates
South Row School	250 Boston Rd			01824			Urban	MA	Middlesex	Chelmsford	1		1		1	1				
Southwell Field Complex					42.642393	-71.379526	Urban	MA	Middlesex	Chelmsford	1			1						Coordinates
Varney Playground		Adams St	Sherman St	01863			Urban	MA	Middlesex	Chelmsford	1			1						
Vinal Square Common		Princeton St	Vinal Square	01863			Urban	MA	Middlesex	Chelmsford										
Westlands Community Education Office	170 Dalton Rd			01824			Urban	MA	Middlesex	Chelmsford	1			1	1					
Artificial Turf Fields Complex and Concord Carlisle High School	500 Walden St			01742			Urban	MA	Middlesex	Concord			1	1		1				
Emerson Playground		Stow St	Everett St	01742			Urban	MA	Middlesex	Concord	1	1	1	1	1	1	1			
Rideout Playground		Lawsbrook Rd	Warner St	01742			Urban	MA	Middlesex	Concord	1		1	1	1					
Ripley School	120 Meriam Rd			01742			Urban	MA	Middlesex	Concord	1			1	1	1				
South Meadow Field	10A Riverdale Cir			01742			Urban	MA	Middlesex	Concord						1				
Carrick Park					42.685901	-71.353557	Urban	MA	Middlesex	Dracut				1		1				Coordinates
Dillion Center Fields	833 Hildreth St			01826			Urban	MA	Middlesex	Dracut				1		1				
Hovey Field		Pleasant St	Huron Ave	01826			Urban	MA	Middlesex	Dracut				1						
Monahan Park	499 Pleasant St			01826			Urban	MA	Middlesex	Dracut				1		1				
Varnum Park		Broadway Rd	Arlington St	01826			Urban	MA	Middlesex	Dracut										
Veteran’s Memorial Park	80 Broadway Rd			01826			Urban	MA	Middlesex	Dracut	1			1		1				
Dunstable Town Field					42.672329	-71.4823	Urban	MA	Middlesex	Dunstable	1		1	1	1	1	15.88			Coordinates
Horse Hill Quarry		Hall St	Camp Massapoag Rd	01827			Urban	MA	Middlesex	Dunstable							6.25			Future Park
Larter Field		Groton St	Hall St	01827			Urban	MA	Middlesex	Dunstable	1			1	1	1	26.3			
Anna Murphy Playground		Cove Ave	Lake Ave	01702			Urban	MA	Middlesex	Framingham	1		1	1	1					
Arlington St Park		Arlington St	Gordon St	01702			Urban	MA	Middlesex	Framingham	1				1					
Barbieri Elementary School	100 Dudley Rd			01702			Urban	MA	Middlesex	Framingham				1		1				
Bates Park		Bates Rd	Brackett Rd	01702			Urban	MA	Middlesex	Framingham	1			1	1					
Bowditch Field	475 Union Ave			01702			Urban	MA	Middlesex	Framingham			1	1	1	1				
Brophy Elementary School	575 Pleasant St			01701			Urban	MA	Middlesex	Framingham	1			1	1	1				
Butterworth Park	261 Grant St			01702			Urban	MA	Middlesex	Framingham	1		1	1	1	1				
Cameron Middle School	215 Elm St			01702			Urban	MA	Middlesex	Framingham				1		1				
Charlotte A Dunning School	48 Frost St			01701			Urban	MA	Middlesex	Framingham	1			1	1	1				
Danforth Playground		Danforth St	Cottage St	01701			Urban	MA	Middlesex	Framingham	1			1	1					
Fuller Middle School	31 Flagg Dr			01702			Urban	MA	Middlesex	Framingham				1		1				
Furber Park		Fairbanks Rd 	Cohituate Rd	01701			Urban	MA	Middlesex	Framingham				1						
Galvani Fields	99 Guadalcanal Rd			01702			Urban	MA	Middlesex	Framingham				1		1				
Hemenway Elementary School	729 Water St			01701			Urban	MA	Middlesex	Framingham	1			1	1	1				
Juniper Hill Elementary School	29 Upper Jocelyn Ave			01701			Urban	MA	Middlesex	Framingham				1						
Keefe Technical High School	750 Winter St			01702			Urban	MA	Middlesex	Framingham				1		1				
King Builidings Field	454 Water St			01701			Urban	MA	Middlesex	Framingham	1			1		1				
Longs Playground		Stedmen Park Rd	Fountain St	01702			Urban	MA	Middlesex	Framingham				1	1	1				
Mary Dennison Playground	54 Beaver St			01702			Urban	MA	Middlesex	Framingham	1			1	1	1				
Miriam F McCarthy School	8 Flagg Dr			01702			Urban	MA	Middlesex	Framingham	1			1						
Oakvale Park	46 Hadley Rd			01701			Urban	MA	Middlesex	Framingham				1						
Potter Rd Elementary School and Lundy Field	492 Potter Rd			01701			Urban	MA	Middlesex	Framingham	1			1	1	1				
Reardon Park		Laclede Ave	Vanderventer Ave	01701			Urban	MA	Middlesex	Framingham	1			1						
Victory Field					42.30244	-71.430879	Urban	MA	Middlesex	Framingham						1				Coordinates
Walsh Middle School	301 Brook St			01701			Urban	MA	Middlesex	Framingham				1		1				
Winch Park and Framingham High School		A St	Winch Park Rd	01701			Urban	MA	Middlesex	Framingham			1	1	1	1				
Amory A Lawrence Memorial Playground		Broad Meadow Rd	Playground Rd	01450			Urban	MA	Middlesex	Groton	1		1	1	1		14.4			
Boutwell School		Boutwell St	Certer Ln	01450			Urban	MA	Middlesex	Groton	1		1	1	1					
Carol Wheeler Memorial Park		Groton Rd	Townsend Rd	01450			Urban	MA	Middlesex	Groton										
Cow Pond Brook Facilities					42.623286	-71.503841	Urban	MA	Middlesex	Groton				1		1	110.0			Coordinates
Cutler Field		Townsend Rd	Windmill Hill Rd	01450			Urban	MA	Middlesex	Groton	1			1	1	1	7			
George and Agnes Rider Park		Lost Lake Dr	Indian Rd	01450			Urban	MA	Middlesex	Groton					1		1.7			
Groton Dunstable Regional High School	703 Chicopee Row			01450			Urban	MA	Middlesex	Groton			1	1		1	186			
Groton Dunstable Regional Middle School North	344 Main St			01450			Urban	MA	Middlesex	Groton	1			1		1				
Hazel Grove Park		Jenkins Rd	Fairgrounds Rd	01450			Urban	MA	Middlesex	Groton							28			
Stonebridge Farm Recreation Area		Stonebridge Way	Forge Village Rd	01450			Urban	MA	Middlesex	Groton			1	1		1	11.0			
Tarbell School	73 Pepperell Rd			01450			Urban	MA	Middlesex	Groton	1						1.44			
Adams and Damigella Fields	323 Woodland St			01746			Urban	MA	Middlesex	Holliston	1			1						
Flagg Field		Linden St	Avon St	01746			Urban	MA	Middlesex	Holliston				1						
Goodwill Park	30 Green St			01746			Urban	MA	Middlesex	Holliston	1		1	1		1				
High School Fields & Kamitian Field	370 Hollis St			01746			Urban	MA	Middlesex	Holliston				1		1				
Mission Springs Recreation Area	100 Summer St			01746			Urban	MA	Middlesex	Holliston				1	1					
Patoma Park					42.192471	-71.418053	Urban	MA	Middlesex	Holliston			1	1	1					Coordinates
Stoddard Park	880 Stoddard Park Rd			01746			Urban	MA	Middlesex	Holliston	1			1		1				
Aikens Park		Cordaville Rd	Aikens Rd	01748			Urban	MA	Middlesex	Hopkinton							0.75			
Berry Acres					42.219317	-71.534257	Urban	MA	Middlesex	Hopkinton							30			Coordinates
Carrigan Park		Main St	Summer St	01748			Urban	MA	Middlesex	Hopkinton				1						
College Rock Park					42.1943	-71.49941	Urban	MA	Middlesex	Hopkinton							11			Coordinates
Daniel Shays Field					42.246336	-71.553378	Urban	MA	Middlesex	Hopkinton						1				Coordinates
EMC Park					42.216723	-71.513046	Urban	MA	Middlesex	Hopkinton	1			1			15			Coordinates
Emerald Hills East Field					42.252112	-71.546032	Urban	MA	Middlesex	Hopkinton										Coordinates
Fruit St Athletic Complex and Victory Field	66 Fruit St			01748			Urban	MA	Middlesex	Hopkinton				1		1				
Reed Park, Woodville					42.239206	-71.568621	Urban	MA	Middlesex	Hopkinton			1	1		1	10			Coordinates
Sandy Island - Town Beach		Lakeshore Dr	Hayward St	01748			Urban	MA	Middlesex	Hopkinton										
Terry Park					42.238209	-71.537304	Urban	MA	Middlesex	Hopkinton							13			Coordinates
Apsley Park					42.38585	-71.577049	Urban	MA	Middlesex	Hudson										Coordinates
BOUTWELL COMPLEX	119 CHAPIN Rd			01749			Urban	MA	Middlesex	Hudson										
CELLUCCI Skate Park	29 SOUTH St			01749			Urban	MA	Middlesex	Hudson	1					1				
CHERRY STREET Field & Playground	61 CHERRY St			01749			Urban	MA	Middlesex	Hudson				1						
FARINA Field	72 COX St			01749			Urban	MA	Middlesex	Hudson				1						
FARLEY ELEMENTARY	106 Packard St			01749			Urban	MA	Middlesex	Hudson										
FOREST AVENUE ELEMENTARY	136 FOREST Ave			01749			Urban	MA	Middlesex	Hudson	1		1	1	1					
HUBERT KINDERGARTEN	119 Broad St			01749			Urban	MA	Middlesex	Hudson	1									
Hudson High School and Busch Memorial Field	69 BRIGHAM St			01749			Urban	MA	Middlesex	Hudson			1	1		1				
INTEL	92 TECHNOLOGY Dr			01749			Urban	MA	Middlesex	Hudson						1				
JFK MIDDLE SCHOOL	201 MANNING St			01749			Urban	MA	Middlesex	Hudson				1		1				
LAMSON PARK AT TRIPPS POND	65 GREEN St			01749			Urban	MA	Middlesex	Hudson										
LIBERTY PARK	5 WASHINGTON St			01749			Urban	MA	Middlesex	Hudson										
MOULTON'S Field	21 MARION St			01749			Urban	MA	Middlesex	Hudson	1			1	1					
MULREADY ELEMENTARY School	306 COX St			01749			Urban	MA	Middlesex	Hudson	1			1	1					
RIVERSIDE Park	122 Chapin Rd			01749			Urban	MA	Middlesex	Hudson				1						
SAUTA COMPLEX	538 MAIN St			01749			Urban	MA	Middlesex	Hudson	1			1		1				
WOOD PARK	65 PARK St			01749			Urban	MA	Middlesex	Hudson	1									
Adams Playground	739 Massachusetts Ave						Urban	MA	Middlesex	Lexington	1		1		1	1				
Baskin Playground					42.471559	-71.24033	Urban	MA	Middlesex	Lexington					1					Coordinates
Bow/Oxford Street Park		Bow St	Cliff Ave				Urban	MA	Middlesex	Lexington	1									
Bowman Park		Pleasant St	Watertown St				Urban	MA	Middlesex	Lexington										
Bowman School		Phillip Rd	Rockville Ave				Urban	MA	Middlesex	Lexington				1						
Bridge School	55 Middleby Rd						Urban	MA	Middlesex	Lexington				1						
Center Recreation Complex	100 Worthen Rd						Urban	MA	Middlesex	Lexington	1	1	1	1	1	1				
Clarke Middle School	17 Stedman Rd						Urban	MA	Middlesex	Lexington			1	1		1				
Diamond Middle School	99 Hancock St						Urban	MA	Middlesex	Lexington				1		1				
Estabrook School	117 Grove St						Urban	MA	Middlesex	Lexington				1	1					
Fiske School	55 Adams St						Urban	MA	Middlesex	Lexington				1	1					
Franklin Playground	3 Stedman Rd						Urban	MA	Middlesex	Lexington	1			1						
Freemont Street Play Area					42.453818	-71.25258	Urban	MA	Middlesex	Lexington										Coordinates
Garfield Street Playground		Garfield St	Hickory St				Urban	MA	Middlesex	Lexington	1			1						
Harrington School	328 Lowell St						Urban	MA	Middlesex	Lexington				1	1	1				
Hastings Park		Massachusetts Ave	Worthem Rd				Urban	MA	Middlesex	Lexington										
Hastings School	7 Crosby Rd						Urban	MA	Middlesex	Lexington				1						
Justin Street Park		Justin St	Bernard St				Urban	MA	Middlesex	Lexington	1									
Kinneens Park		Burlington St	Preston Rd				Urban	MA	Middlesex	Lexington	1			1						
Lexington High School Fields	251 Waltham St						Urban	MA	Middlesex	Lexington				1		1				
Lincoln Park	136 Lincoln St						Urban	MA	Middlesex	Lexington	1			1		1				
Marvin Park					42.483871	-71.25039	Urban	MA	Middlesex	Lexington	1									Coordinates
Munroe School Yard	1403 Massachusetts Ave						Urban	MA	Middlesex	Lexington	1			1						
Muzzey Field		Massachusetts Ave	Rowland Ave				Urban	MA	Middlesex	Lexington						1				
Poplar Street Playground					42.462966	-71.24335	Urban	MA	Middlesex	Lexington										Coordinates
Rindge Avenue Playfield					42.429957	-71.19159	Urban	MA	Middlesex	Lexington	1			1	1					Coordinates
Sutherland Park		Sutherland St	Aerial St				Urban	MA	Middlesex	Lexington	1			1	1					
Teresa & Roberta Lee Fitness Path					42.444212	-71.23989	Urban	MA	Middlesex	Lexington						1				Coordinates
Tower Park		Massachusetts Ave	Pelham Rd				Urban	MA	Middlesex	Lexington										
Valleyfield Play Area	23 Valley Rd						Urban	MA	Middlesex	Lexington			1							
Bumblebee Park		Foster St	Harwood St	01460			Urban	MA	Middlesex	Littleton										
Castle in the Trees Playground	300 King St			01460			Urban	MA	Middlesex	Littleton	1		1		1					
Fay Park		Foster St	Wilderness Rd	01460			Urban	MA	Middlesex	Littleton	1									
Long Lake Town Beach					42.53241	-71.46562	Urban	MA	Middlesex	Littleton	1									Coordinates
Oak Hill					42.536196	-71.52576	Urban	MA	Middlesex	Littleton										Coordinates
Alumni/Martin Complex	438 Douglas Rd						Urban	MA	Middlesex	Lowell				1		1				
Armory Park	50 Westford St						Urban	MA	Middlesex	Lowell	1									
Bourgeois Park	113 University Ave						Urban	MA	Middlesex	Lowell										
Callery Park	200 B St						Urban	MA	Middlesex	Lowell	1		1	1						
Campbell Park	30 Courtland St						Urban	MA	Middlesex	Lowell	1			1						
Carter St Park	25 Carter Av						Urban	MA	Middlesex	Lowell					1					
Centerville Memorial Park	711 Aiken St						Urban	MA	Middlesex	Lowell										
Circuit Av Park	136 Circuit Ave						Urban	MA	Middlesex	Lowell										
Clemente Park	803 Middlesex St						Urban	MA	Middlesex	Lowell	1				1	1				
Coburn Park	845 Chelmsford St						Urban	MA	Middlesex	Lowell										
Doane St Park	69 Doane St						Urban	MA	Middlesex	Lowell		1			1	1				
Donahoe Park	2 Stratham St						Urban	MA	Middlesex	Lowell				1						
Dubner Park	23 Rogers St						Urban	MA	Middlesex	Lowell										
Ducharme Park		Commonwealth Ave	Woburn St				Urban	MA	Middlesex	Lowell	1				1					
Durkin Park	294 Chelmsford St						Urban	MA	Middlesex	Lowell	1			1	1					
Edwards St Park	50 Edwards St						Urban	MA	Middlesex	Lowell						1				
Father Grillo Park	853 Central St						Urban	MA	Middlesex	Lowell										
Father Maguire Park	80 Woodward Ave						Urban	MA	Middlesex	Lowell	1		1	1	1					
Fayette St Playground	246 Fayette St						Urban	MA	Middlesex	Lowell	1				1					
Fels Playground	260 Riverside St						Urban	MA	Middlesex	Lowell	1	1								
Ferry Landing Park	3 First St						Urban	MA	Middlesex	Lowell										
Festival Field	381 Pawtucket Blvd						Urban	MA	Middlesex	Lowell						1				
Finneral Park		Lincoln Pkwy	Van Greenby Rd				Urban	MA	Middlesex	Lowell										
First St Playground	61 First St						Urban	MA	Middlesex	Lowell										
Fort Hill Park	201 Rogers St						Urban	MA	Middlesex	Lowell										
Fr Kirwin Playground	889 Lawrence St						Urban	MA	Middlesex	Lowell	1				1					
Gage Park	78 13th St						Urban	MA	Middlesex	Lowell			1	1	1	1				
Hadley Park	1650 Middlesex St						Urban	MA	Middlesex	Lowell	1			1	1	1				
Harmony Park		Cork St	Cross St				Urban	MA	Middlesex	Lowell										
Highland Park	150 Fleming St						Urban	MA	Middlesex	Lowell				1	1	1				
Hovey Field	266 Aiken St						Urban	MA	Middlesex	Lowell						1				
Kerouac Park	93 Bridge St						Urban	MA	Middlesex	Lowell										
Kittredge Park	44 Nesmith St						Urban	MA	Middlesex	Lowell	1									
Knott Park	150 Douglas Rd						Urban	MA	Middlesex	Lowell										
Koumantzeus Field/Francis Gate Park	490 Pawtucket St						Urban	MA	Middlesex	Lowell				1		1				
Lincoln Square Park		Washington St	Hale St				Urban	MA	Middlesex	Lowell										
Lowell Memorial Auditorium Greenspace	52 East Merrimack St						Urban	MA	Middlesex	Lowell										
Lucy Larcom Park	255 Merrimack St						Urban	MA	Middlesex	Lowell										
Manning Field	303 Boston Rd						Urban	MA	Middlesex	Lowell				1						
Martin Portuguese Park	424 Central St						Urban	MA	Middlesex	Lowell										
McDermott Reservoir	197 Beacon St						Urban	MA	Middlesex	Lowell										
McInerney Playground	213 West London St						Urban	MA	Middlesex	Lowell	1									
McNamara Field/LeBlance Park/Pawtucket Memorial Park	475 West Meadow Rd						Urban	MA	Middlesex	Lowell	1			1		1				
McPherson Park	45 Richardson St						Urban	MA	Middlesex	Lowell	1	1	1	1	1					
Monsignor Keenan		W Sixth St	Hampshire St				Urban	MA	Middlesex	Lowell	1				1					
Moody St Playground	497 Moody St						Urban	MA	Middlesex	Lowell	1				1					
Mulligan Park	89 Plain St						Urban	MA	Middlesex	Lowell	1	1			1					
Nieves, Olga Playground	123 Adams St						Urban	MA	Middlesex	Lowell	1									
Noonan Family Park		Washington Pkwy	Gibson St				Urban	MA	Middlesex	Lowell										
North Common	413 Fletcher St						Urban	MA	Middlesex	Lowell	1	1		1	1	1				
O'Donnell Park	1170 Gorham St						Urban	MA	Middlesex	Lowell	1	1	1	1	1					
Oliveria Park	84 Newhall St						Urban	MA	Middlesex	Lowell				1	1					
Perry Playground	36 Dover St						Urban	MA	Middlesex	Lowell	1				1					
Reilly School Community Playground	115 Douglas Rd						Urban	MA	Middlesex	Lowell	1				1					
Rotary Club Park	16 Richmond Av						Urban	MA	Middlesex	Lowell						1				
Rynne Beach	160 Pawtucket Blvd						Urban	MA	Middlesex	Lowell										
Scullin Park	50 Morey St						Urban	MA	Middlesex	Lowell	1									
Shedd Park	433 Rogers St						Urban	MA	Middlesex	Lowell	1		1	1	1	1				
Sheehy Park	501 Pawtucket St						Urban	MA	Middlesex	Lowell										
South Common	272 South St						Urban	MA	Middlesex	Lowell	1	1	1		1	1				
St Louis Playground	406 West Sixth St						Urban	MA	Middlesex	Lowell	1			1	1					
Suffolk St Park	140 Suffolk St						Urban	MA	Middlesex	Lowell										
Tenth St Reservior	191 Mt Pleasant St						Urban	MA	Middlesex	Lowell										
Thomas L Crowley Park	78 Wedge St						Urban	MA	Middlesex	Lowell	1									
Tyler Park		Westford St	Tyler Park				Urban	MA	Middlesex	Lowell										
Varnum Park		3rd St	Vernon St				Urban	MA	Middlesex	Lowell										
Veterans Memorial Park	17 Ennell St						Urban	MA	Middlesex	Lowell										
Victory Park	21 Woburn St						Urban	MA	Middlesex	Lowell										
Walter J Lemieux Park	8 Mill St						Urban	MA	Middlesex	Lowell										
Wang Park	850 Pawtucket Blvd						Urban	MA	Middlesex	Lowell						1				
Wannalancit Park		Varnum Ave	Mammoth Rd				Urban	MA	Middlesex	Lowell										
Amerige Park		Fellsway E	 Savin St	02148			Urban	MA	Middlesex	Malden	1		1	1	1	1				
Bell Rock Park		Main St	Wigglesworth St	02148			Urban	MA	Middlesex	Malden										
Callahan Park		Pearl St	Hubbard St	02148			Urban	MA	Middlesex	Malden				1		1				
Coytemore Lea Park		Mountain Ave	Linden Ave	02148			Urban	MA	Middlesex	Malden	1				1					
Devir Park		Fellsway	Malden St	02148			Urban	MA	Middlesex	Malden	1		1	1	1	1				
Fellsmere Pond		Fellsmere Rd	W Border Rd	02148			Urban	MA	Middlesex	Malden										
Forestdale Park	70 Sylvan St			02148			Urban	MA	Middlesex	Malden	1			1		1				
Holland Memorial Pool		Mountain Ave	Dartmouth St	02148			Urban	MA	Middlesex	Malden		1								
Hunting Field (Linden Park)	29 Westcott St			02148			Urban	MA	Middlesex	Malden	1			1	1	1				
Kierstead Park		Eastern Ave	Willow St	02148			Urban	MA	Middlesex	Malden	1			1						
Lincoln Commons and Anderson Field		Cross St	Bryant St	02148			Urban	MA	Middlesex	Malden	1			1						
MacArthur Park (Green Street Park)		Green St	Wadsworth St	02148			Urban	MA	Middlesex	Malden	1			1	1					
Macdonald Stadium		Pearl St	Centre St	02148			Urban	MA	Middlesex	Malden						1				
Maplewood Park and Donovan Field	99 Crystal St			02148			Urban	MA	Middlesex	Malden				1		1				
Miller Park		Harvard St	Lyme St	02148			Urban	MA	Middlesex	Malden	1				1					
Newman Park	150 Cross St			02148			Urban	MA	Middlesex	Malden	1			1		1				
O'Connell Park		West St	Medford St	02148			Urban	MA	Middlesex	Malden										
Patchell Park					42.439516	-71.073339	Urban	MA	Middlesex	Malden	1				1					Coordinates
Pearl Street Park		Pearl St	Malden St	02148			Urban	MA	Middlesex	Malden	1				1					
Pine Banks Park	1087 Main St			02148			Urban	MA	Middlesex	Malden				1		1	107.5			
Roosevelt Park	529 Salem St			02148			Urban	MA	Middlesex	Malden	1			1		1				
South Broadway Park					42.426735	-71.043745	Urban	MA	Middlesex	Malden	1			1	1	1				Coordinates
Tartikoff Park		Willow St	Lyme St	02148			Urban	MA	Middlesex	Malden	1					1				
Trafton Park		Granite St	Jacob St	02148			Urban	MA	Middlesex	Malden	1		1	1	1					
Waitt's Mount		Leonard St	Tremont St	02148			Urban	MA	Middlesex	Malden					1					
Wallace Park	403 Pleasant St			02148			Urban	MA	Middlesex	Malden										
Byrne Field					42.361006	-71.485822	Urban	MA	Middlesex	Marlborough						1				Coordinates
City of Marlborough Boat Ramp	Reservoir St			01752			Urban	MA	Middlesex	Marlborough										
Colaianni Playground					42.370916	-71.547467	Urban	MA	Middlesex	Marlborough	1									Coordinates
Duca Playground		Rice St	Bolton St	01752			Urban	MA	Middlesex	Marlborough	1									
Farrell Field (Hildreth School)	85 Sawin St			01752			Urban	MA	Middlesex	Marlborough	1	1		1						
Ghiloni Park					42.353287	-71.521865	Urban	MA	Middlesex	Marlborough	1			1	1	1				Coordinates
Holt's Grove		Stevens St	Andrews Rd	01752			Urban	MA	Middlesex	Marlborough						1				
Jaworek School	444 Hosmer St			01752			Urban	MA	Middlesex	Marlborough	1			1	1	1				
Jericho Hill					42.32981	-71.559464	Urban	MA	Middlesex	Marlborough	1				1					Coordinates
John Street Playground	38 John St			01752			Urban	MA	Middlesex	Marlborough	1				1					
Kane School	520 Farm Rd			01752			Urban	MA	Middlesex	Marlborough	1			1	1	1				
Kelleher Field		Jefferson St	Hudson St	01752			Urban	MA	Middlesex	Marlborough	1				1	1				
Korean Veterans Field		Milham St	Dudley St	01752			Urban	MA	Middlesex	Marlborough	1				1	1				
Marlborough High School Facilities	431 Bolton St			01752			Urban	MA	Middlesex	Marlborough			1	1		1				
Marlborough Middle School Facilities	25 Union St			01752			Urban	MA	Middlesex	Marlborough	1			1	1	1				
Memorial Beach		Hosmer St	Miles Standish Dr	01752			Urban	MA	Middlesex	Marlborough	1									
Richer School	80 Foley Rd			01752			Urban	MA	Middlesex	Marlborough	1			1	1					
Simpson Playground					42.372995	-71.52547	Urban	MA	Middlesex	Marlborough	1									Coordinates
Stevens Park		Martin St	Broad St	01752			Urban	MA	Middlesex	Marlborough	1		1	1	1					
Union Common		Main St	Bolton St	01752			Urban	MA	Middlesex	Marlborough										
Ward Park		Orchard St	Hayden St	01752			Urban	MA	Middlesex	Marlborough	1	1	1		1	1				
Williams Street Baseball Fields		WIlliams St	Lizotte Dr	01752			Urban	MA	Middlesex	Marlborough	1			1						
Barry Park		Summer St	Marston St	02155			Urban	MA	Middlesex	Medford	1		1	1	1		3.6			
Brook Park		Brooks Park	Main St	02155			Urban	MA	Middlesex	Medford							0.36			
Capen Park	199 Capen St			02155			Urban	MA	Middlesex	Medford	1				1		0.77			
Carr Park	22 Winslow Ave			02155			Urban	MA	Middlesex	Medford	1		1	1	1		11.5			
Columbus Park	64 E Albion St			02155			Urban	MA	Middlesex	Medford				1	1		5			
Cummings Park		Cotting St	Lyman Ave	02155			Urban	MA	Middlesex	Medford	1				1		0.45			
Dugger Park		Mystic River Rd	Harvard Ave	02155			Urban	MA	Middlesex	Medford	1		1		1	1	3.2			
Grant Park	Boston Ave			02155			Urban	MA	Middlesex	Medford							0.23			Cant Find
Harris Park		2nd St	Bradbury Ave	02155			Urban	MA	Middlesex	Medford	1		1	1	1		2.8			
Hastings Heights		Allston St	Laurel St	02155			Urban	MA	Middlesex	Medford							1.3			
Hickey Park		Brogan Rd	Park St	02155			Urban	MA	Middlesex	Medford	1		1	1	1		4.4			
Hormel Stadium Facility Riverbend Park	97 Locust St			02155			Urban	MA	Middlesex	Medford	1			1		1	43.9			
Logan Park	35 Otis St			02155			Urban	MA	Middlesex	Medford	1						1.3			
Magoun Park	40 Pembroke St			02155			Urban	MA	Middlesex	Medford	1				1		1.3			
McNally Park		Webster St	Ash St	02155			Urban	MA	Middlesex	Medford	1			1			1.7			
Memorial Park		Winthrop St	Mystic Valey Pkwy	02155			Urban	MA	Middlesex	Medford				1			9.6			
Morrison Park		Central Ave	Linwood St	02155			Urban	MA	Middlesex	Medford	1		1	1	1		4.4			
Playstead Park	101 Playstead Rd			02155			Urban	MA	Middlesex	Medford	1		1	1	1	1	12.3			
Prescott Park	1 St James Ave			02155			Urban	MA	Middlesex	Medford							0.25			
Royall Park		George St	Main St	02155			Urban	MA	Middlesex	Medford							0.76			
Thomas Brooks Park	281 Grove St			02155			Urban	MA	Middlesex	Medford							6			
Tufts Park	449 Main St			02155			Urban	MA	Middlesex	Medford	1	1		1	1	1	10.6			
